#
#       site : https://molat.obspm.fr/index.php?page=pages/Molecules/CO-Rostas/view_data.php&fichier=T112C16O.txt
#
#       Table 1A. Absorption lines of 12C16O listed by rotational number (J") of
#                 the lower level.  
#
#       - column no 1 : (" between quotes ") band identification
#       - column no 2 : lower vibrational level
#       - column no 3 : lower rotational  level
#       - column no 4 : wavelength (in nm)
#       - column no 5 : wavenumber (in cm-1)
#       - column no 6 : oscillator strength
#       - column no 7 : upper state reciprocal lifetime (in s-1)
#       - column no 8 : upper state branching ratio towards dissociation
#
#       For more details concerning this table, please refer to page 234 of the paper by
#       Eidelsberg et al.(1991) which can be downloaded from this site. 
#
nb of lines:  3051
"C12O16 9A         1P 2-0 Q( 2)"   0   2   91.7285 109017.39 1.135E-02 1.000E+11 1.000E+00
"C12O16 9A         1P 2-0 R( 2)"   0   2   91.7201 109027.41 9.080E-03 1.000E+11 1.000E+00
"C12O16 9B      6ss1S 0-0 P( 2)"   0   2   91.9272 108781.75 1.129E-03 1.000E+11 1.000E+00
"C12O16 9B      6ss1S 0-0 R( 2)"   0   2   91.9091 108803.15 1.693E-03 1.000E+11 1.000E+00
"C12O16 9C      5ss1S 1-0 P( 2)"   0   2   92.0206 108671.28 1.126E-03 1.000E+11 1.000E+00
"C12O16 9C      5ss1S 1-0 R( 2)"   0   2   92.0045 108690.32 1.690E-03 1.000E+11 1.000E+00
"C12O16 10      5ds1S 0-0 P( 2)"   0   2   92.2822 108363.27 2.527E-03 3.333E+11 1.000E+00
"C12O16 10      5ds1S 0-0 R( 2)"   0   2   92.2660 108382.27 3.791E-03 3.333E+11 1.000E+00
"C12O16 11         1S 1-0 P( 2)"   0   2   92.4698 108143.46 2.062E-03 1.000E+11 1.000E+00
"C12O16 11         1S 1-0 R( 2)"   0   2   92.4538 108162.12 3.093E-03 1.000E+11 1.000E+00
"C12O16 12   W  3ss1P 3-0 P( 2)"   0   2   92.5880 108005.37 1.635E-03 3.333E+11 1.000E+00
"C12O16 12   W  3ss1P 3-0 Q( 2)"   0   2   92.5823 108011.96 8.174E-03 3.333E+11 1.000E+00
"C12O16 12   W  3ss1P 3-0 R( 2)"   0   2   92.5739 108021.86 6.540E-03 3.333E+11 1.000E+00
"C12O16 13         1P 2-0 P( 2)"   0   2   92.8725 107674.49 6.682E-04 1.000E+11 1.000E+00
"C12O16 13         1P 2-0 Q( 2)"   0   2   92.8659 107682.14 3.341E-03 1.000E+11 1.000E+00
"C12O16 13         1P 2-0 R( 2)"   0   2   92.8560 107693.61 2.673E-03 1.000E+11 1.000E+00
"C12O16 14         1P 2-0 P( 2)"   0   2   93.0129 107511.93 6.348E-04 1.000E+11 1.000E+00
"C12O16 14         1P 2-0 Q( 2)"   0   2   93.0066 107519.21 3.174E-03 1.000E+11 1.000E+00
"C12O16 14         1P 2-0 R( 2)"   0   2   92.9972 107530.12 2.540E-03 1.000E+11 1.000E+00
"C12O16 15A     5pp1P 0-0 P( 2)"   0   2   93.1146 107394.57 6.035E-04 1.000E+11 1.000E+00
"C12O16 15A     5pp1P 0-0 Q( 2)"   0   2   93.1089 107401.16 3.018E-03 1.000E+11 1.000E+00
"C12O16 15A     5pp1P 0-0 R( 2)"   0   2   93.1003 107411.06 2.414E-03 1.000E+11 1.000E+00
"C12O16 15B     5pp1P 0-0 P( 2)"   0   2   93.1729 107327.40 1.207E-03 1.000E+11 1.000E+00
"C12O16 15B     5pp1P 0-0 Q( 2)"   0   2   93.1676 107333.44 6.034E-03 1.000E+11 1.000E+00
"C12O16 15B     5pp1P 0-0 R( 2)"   0   2   93.1598 107342.48 4.828E-03 1.000E+11 1.000E+00
"C12O16 15C     5ps1S 0-0 P( 2)"   0   2   93.3117 107167.72 8.820E-03 1.000E+10 1.000E+00
"C12O16 15C     5ps1S 0-0 R( 2)"   0   2   93.2932 107189.00 1.323E-02 1.000E+10 1.000E+00
"C12O16 16         1S 2-0 P( 2)"   0   2   93.5749 106866.31 1.507E-03 3.333E+11 1.000E+00
